tax_id	scientificName	Order	Diet	Massg	high_hfp_extent_suitable	high_hfp_extent_unsuitable	GISfrag_suitable	Percentage_change_suitable	Percentage_change_unsuitable	mean_distance_unsuitable	proportion_suitable	proportion_unsuitable	trans9617
5524	Cricetulus barabensis	Rodentia	herbivore	22.9	90.59162356	64.04847273	2076.232471	0	0	7900.838223	65.11467827	34.88532173	0
5525	Cricetulus kamensis	Rodentia	herbivore	30	89.5357406	86.77836033	397.5026992	0.137174211	0.623305318	7583.708393	3.815656346	96.18434365	0
5526	Cricetulus longicaudatus	Rodentia	herbivore	22.1	57.03153825	87.78080196	6635.826201	0	0.005657786	22390.93609	46.01638505	53.98361495	0
5527	Cricetulus sokolovi	Rodentia	herbivore	24	61.21143484	95.49481144	24943.44331	0.062635811	0.132520541	1113.447866	94.49502028	5.504979719	0
5528	Cricetulus migratorius	Rodentia	herbivore	38.5	97.24119867	83.78459395	6863.549959	0.623397812	0.560981541	22280.23998	52.11861164	47.88138836	0
5529	Cricetus cricetus	Rodentia	omnivore	510	98.9165854	92.55679643	2460.50864	0	0	4398.14752	66.41858059	33.58141941	0
5558	Crocidura ansellorum	Eulipotyphla	carnivore	4.6	83.88074785	88.53046595	1184.069554	19.21686747	12.95546559	327.5106152	87.42713407	12.57286593	1
5559	Crocidura baileyi	Eulipotyphla	carnivore	15.3	100	100	397.1155292	0	0	3892.418719	4.274157179	95.72584282	0
5560	Crocidura canariensis	Eulipotyphla	carnivore	7.5	100	100	1899.290391	0	0	367.5944481	92.21377563	7.786224372	1
5561	Crocidura congobelgica	Eulipotyphla	carnivore	17	44.07449639	73.68482309	2010.248257	65.62361405	20.39172327	572.2327403	91.48093948	8.519060522	0
5562	Crocidura crenata	Eulipotyphla	carnivore	6.5	55.04770609	65.54557191	1568.191781	13.83491167	9.233799566	2180.769285	69.07529859	30.92470141	0
5565	Crocidura eisentrauti	Eulipotyphla	carnivore	9.1	100	100	2291.900884	0	0	1765.927462	42.55930985	57.44069015	1
5566	Crocidura glassi	Eulipotyphla	carnivore	13.6	100	100	543.5603962	0	0	2650.238941	18.76407442	81.23592558	0
5567	Crocidura grassei	Eulipotyphla	carnivore	13.5	60.08677214	69.94514776	1660.572471	13.19355469	8.677955063	545.1396899	85.26609082	14.73390918	0
5568	Crocidura kivuana	Eulipotyphla	carnivore	9.9	100	100	518.0594678	0	0	2733.269709	11.09421392	88.90578608	0
5569	Crocidura lanosa	Eulipotyphla	carnivore	22.6	87.51351351	94.69347396	739.2474987	0	0	1090.910731	38.16145728	61.83854272	0
5570	Crocidura latona	Eulipotyphla	carnivore	6.6	53.78790211	83.09202157	2220.396465	34.25284725	10.87051619	843.8299045	88.68505325	11.31494675	0
5572	Crocidura lucina	Eulipotyphla	carnivore	12.2	99.96788902	100	18561.99905	0	0	1683.540019	78.35797947	21.64202053	1
5575	Crocidura manengubae	Eulipotyphla	carnivore	14	100	100	687.2219102	0	0	1689.752819	45.48755823	54.51244177	1
5576	Crocidura maquassiensis	Eulipotyphla	carnivore	6	98.52771515	97.63626815	663.9697279	0.30079065	0.210499566	2080.118037	28.11278284	71.88721716	0
